Object_name,Contour1,contour2,contour3,radius,area,aspect_ratio,isConvex,hu0,hu1,hu2,hu3
M30,6,11,6,24.2105,1402,1.15465,1,0.161139,0.000247467,1.29174e-06,1.96848e-09
M30,6,8,6,24.9124,1486,1.03937,1,0.160549,0.000122182,1.82946e-06,8.89546e-09
M30,6,8,6,25.1719,1485.5,1.19531,1,0.161125,0.000252362,9.13135e-08,2.27196e-09
M30,6,8,6,25.6157,1566.5,1.11628,1,0.160417,7.65113e-05,3.94732e-08,5.11929e-10
M30,6,7,6,25.1719,1484.5,1.19765,1,0.161128,0.000259959,2.92726e-07,5.1222e-09
M30,6,8,6,25.1719,1481,1.13894,1,0.160989,0.000228059,4.48914e-07,2.44841e-09
M30,6,10,6,24.2105,1407,1.15012,1,0.161155,0.000232729,1.8378e-06,2.18523e-10
M30,6,8,6,25.6157,1564.5,1.11628,1,0.160423,7.62572e-05,6.3215e-08,7.08749e-10
M30,6,8,6,25.3608,1483,1.13628,1,0.161099,0.000236888,3.54746e-07,1.39419e-09
M30,6,10,6,24.6448,1548,1.09302,1,0.160288,1.57494e-05,2.91897e-08,1.23345e-09
M20,6,11,6,16.3589,623.5,1.09722,1,0.161314,0.000272698,3.73362e-07,7.37278e-09
M20,6,9,6,16.3589,648,1.07143,1,0.160435,6.20903e-05,1.01127e-06,1.29281e-10
M20,6,9,6,16.0536,641,1.14815,1,0.160722,0.000129047,9.86025e-06,9.62719e-09
M20,6,15,6,15.9982,588,1.24484,1,0.161787,0.000461131,2.99418e-06,3.53506e-08
M20,6,11,6,16.5746,698,1.06897,1,0.16024,2.78876e-05,6.66836e-07,3.50939e-09
M20,6,9,6,16.1631,655,1.18519,1,0.160494,7.78516e-05,7.61204e-07,4.94246e-10
M20,6,13,6,15.9982,583.5,1.11538,1,0.161842,0.00056155,6.74567e-07,2.14955e-08
M20,6,9,6,16.6083,650,1.14521,1,0.161642,0.000373126,7.81865e-07,6.27246e-09
M20,6,12,6,15.9067,594.5,1.07407,1,0.160866,0.000215571,1.49447e-06,2.10305e-09
M20,6,11,6,16.4316,633,1.11111,1,0.160765,8.31589e-05,2.2725e-06,2.63746e-09
M20,6,12,6,15.9982,630,1.11111,1,0.160634,0.00018254,1.51291e-06,1.24294e-09
M20,6,12,6,15.9067,612.5,1.14734,1,0.161389,0.000337807,5.60163e-07,1.38117e-08
M20,7,16,6,16.0987,668,1.10714,1,0.160322,8.78578e-05,2.17584e-06,4.5658e-10
F20_20,4,5,4,45.8899,1635.5,4.50328,1,0.410853,0.14106,8.89456e-06,2.8388e-06
F20_20,4,4,4,43.6324,1575,4.36842,1,0.382651,0.118706,2.75501e-30,1.60947e-30
F20_20,4,4,4,45.8466,1524.5,4.66667,1,0.427457,0.155149,1.01277e-05,5.44169e-06
F20_20,4,5,4,45.8899,1636.5,4.51777,1,0.411496,0.141525,5.79707e-06,1.819e-06
F20_20,4,5,4,46.9781,1735.5,4.34236,1,0.397805,0.130479,1.7808e-05,6.0309e-06
F20_20,4,5,4,45.6524,1708.5,4.45,1,0.385719,0.121461,1.41946e-06,1.0177e-06
F20_20,4,4,4,46.2584,1717,4.4,1,0.392415,0.126281,8.09193e-05,4.90214e-05
F20_20,4,5,4,45.9737,1713.5,4.4,1,0.386742,0.122163,1.48288e-05,9.8839e-06
F20_20,4,5,4,46.6637,1710,4.45,1,0.404905,0.136034,3.84157e-05,2.33595e-05
F20_20,4,4,4,46.2584,1721,4.4,1,0.390772,0.125055,7.4469e-05,4.38278e-05
F20_20,4,5,4,44.9586,1507,4.70225,1,0.424083,0.152161,6.22662e-06,6.60015e-06
F20_20,4,4,4,43.3488,1586.5,4.42105,1,0.38522,0.120708,2.27259e-06,2.28956e-07
F20_20,4,6,4,45.358,1480,4.73082,1,0.433454,0.160061,6.21187e-06,3.97352e-06
F20_20,4,5,4,46.9781,1736.5,4.34637,1,0.397828,0.130484,1.17514e-05,3.63951e-06
F20_20,4,5,4,45.147,1479,4.72011,1,0.430943,0.158008,1.02809e-05,5.71291e-06
F20_20,4,5,4,45.147,1432.5,4.80601,1,0.43665,0.162845,9.69846e-06,2.17516e-06
F20_20,4,5,4,44.9586,1515,4.68015,1,0.42218,0.150623,1.00332e-05,6.69739e-06
S40_40,4,5,4,50.2118,3244.5,2.39474,1,0.234253,0.0271133,1.69801e-05,1.91418e-06
S40_40,4,5,4,44.8523,2599,2.51827,1,0.243838,0.0316891,1.18766e-07,2.26976e-08
S40_40,4,4,4,49.1629,3202,2.40541,1,0.235591,0.027677,6.26403e-06,1.46495e-06
S40_40,4,4,4,49.1629,3285.5,2.40541,1,0.234651,0.0273551,5.90317e-07,5.28806e-08
S40_40,4,6,4,47.2707,2894,2.49681,1,0.244355,0.0320888,5.94075e-07,7.00878e-08
S40_40,4,4,4,48.9656,3255,2.37838,1,0.233168,0.0266054,2.38489e-09,1.84738e-10
S40_40,4,5,4,48.3799,2969.5,2.53861,1,0.246869,0.0332307,2.85529e-06,6.47707e-07
S40_40,4,4,4,48.3799,2958.5,2.51159,1,0.246304,0.0329074,3.60667e-06,5.19495e-07
S40_40,4,5,4,47.6257,3053,2.32432,1,0.232035,0.0261297,4.63685e-06,5.13883e-07
S40_40,4,4,4,49.2519,3279,2.40541,1,0.234363,0.027194,7.68876e-07,5.69216e-08
S40_40,4,6,4,50.114,3313.5,2.37669,1,0.235459,0.0275703,4.56665e-06,5.71842e-07
S40_40,4,4,4,48.9656,3261,2.40541,1,0.233435,0.026786,9.41426e-09,3.82574e-10
S40_40,4,4,4,48.3799,2972.5,2.49918,1,0.245125,0.0323668,2.44132e-06,6.643e-07
S40_40,4,4,4,50.2514,3156.5,2.469,1,0.24281,0.0312058,4.40205e-06,7.15852e-07
S40_40,4,4,4,49.2519,3281,2.40541,1,0.234468,0.0272375,5.3213e-07,3.848e-08
S40_40,4,6,4,50.0425,3316.5,2.37572,1,0.235284,0.0274949,3.75581e-06,4.91866e-07
S40_40,4,4,4,48.6314,3121,2.40779,1,0.241255,0.03031,5.0202e-06,7.73146e-07
S40_40,4,5,4,47.6257,3067,2.32432,1,0.231311,0.0257556,3.1736e-06,5.51087e-07
S40_40,4,4,4,47.8174,2963,2.40277,1,0.236134,0.0279562,1.8962e-06,2.3082e-07
S40_40,4,4,4,48.9656,3259,2.40541,1,0.233335,0.0267363,3.10727e-08,2.01094e-09
